Journey:1,Start Time:,11:38:58
Lat,Lng,Time
35.1498264,33.3397835,00:01:17
35.1498264,33.3397835,00:01:18
35.1498264,33.3397835,00:01:19
35.1498264,33.3397835,00:01:20
35.1497951,33.3398652,00:01:21
35.1497951,33.3398652,00:01:22
35.1497951,33.3398652,00:01:23
35.1497951,33.3398652,00:01:24
35.1497951,33.3398652,00:01:25
35.1497873,33.3398692,00:01:26
35.1497873,33.3398692,00:01:27
35.1497873,33.3398692,00:01:28
35.1497873,33.3398692,00:01:29
35.1497873,33.3398692,00:01:30
35.1497962,33.3398745,00:01:31
35.1497962,33.3398745,00:01:32
35.1497962,33.3398745,00:01:33
35.1497962,33.3398745,00:01:34
35.1497962,33.3398745,00:01:35
35.1498005,33.3398404,00:01:36
35.1498005,33.3398404,00:01:37
35.1498005,33.3398404,00:01:38
35.1498005,33.3398404,00:01:39
35.1498005,33.3398404,00:01:40
35.1498001,33.3398296,00:01:41
35.1498001,33.3398296,00:01:42
35.1498001,33.3398296,00:01:43
35.1498001,33.3398296,00:01:44
35.1498001,33.3398296,00:01:45
35.1497979,33.3398254,00:01:46
35.1497979,33.3398254,00:01:47
35.1497979,33.3398254,00:01:48
35.1497979,33.3398254,00:01:49
35.1497979,33.3398254,00:01:50
35.1497953,33.3398258,00:01:51
35.1497953,33.3398258,00:01:52
35.1497953,33.3398258,00:01:53
35.1497953,33.3398258,00:01:54
35.1497953,33.3398258,00:01:55
35.1497991,33.3398239,00:01:56
35.1497991,33.3398239,00:01:57
35.1497991,33.3398239,00:01:58
35.1497991,33.3398239,00:01:59
35.1497991,33.3398239,00:02:00
35.1498875,33.3397794,00:02:01
35.1498875,33.3397794,00:02:02
35.1498875,33.3397794,00:02:03
35.1498875,33.3397794,00:02:04
35.1498875,33.3397794,00:02:05
35.1501457,33.3397181,00:02:06
35.1501457,33.3397181,00:02:07
35.1501457,33.3397181,00:02:08
35.1501457,33.3397181,00:02:09
35.1501457,33.3397181,00:02:10
35.150564,33.3396688,00:02:11
35.150564,33.3396688,00:02:12
35.150564,33.3396688,00:02:13
35.150564,33.3396688,00:02:14
35.150564,33.3396688,00:02:15
35.1510457,33.3395647,00:02:16
35.1510457,33.3395647,00:02:17
35.1510457,33.3395647,00:02:18
35.1510457,33.3395647,00:02:19
35.1510457,33.3395647,00:02:20
35.1515509,33.3395119,00:02:21
35.1515509,33.3395119,00:02:22
35.1515509,33.3395119,00:02:23
35.1515509,33.3395119,00:02:24
35.1515509,33.3395119,00:02:25
35.151995,33.3394041,00:02:26
35.151995,33.3394041,00:02:27
35.151995,33.3394041,00:02:28
35.151995,33.3394041,00:02:29
35.151995,33.3394041,00:02:30
35.1525291,33.3392633,00:02:31
35.1525291,33.3392633,00:02:32
35.1525291,33.3392633,00:02:33
35.1525291,33.3392633,00:02:34
35.1525291,33.3392633,00:02:35
35.1531083,33.339148,00:02:36
35.1531083,33.339148,00:02:37
35.1531083,33.339148,00:02:38
35.1531083,33.339148,00:02:39
35.1531083,33.339148,00:02:40
35.1536839,33.3390816,00:02:41
35.1536839,33.3390816,00:02:42
35.1536839,33.3390816,00:02:43
35.1536839,33.3390816,00:02:44
35.1536839,33.3390816,00:02:45
35.1541908,33.3389642,00:02:46
35.1541908,33.3389642,00:02:47
35.1541908,33.3389642,00:02:48
35.1541908,33.3389642,00:02:49
35.1541908,33.3389642,00:02:50
35.1543409,33.3389442,00:02:51
35.1543409,33.3389442,00:02:52
35.1543437,33.3389439,00:02:53
35.1543437,33.3389439,00:02:54
35.1543437,33.3389439,00:02:55
35.1543184,33.338958,00:02:56
35.1543184,33.338958,00:02:57
35.1543184,33.338958,00:02:58
35.1543184,33.338958,00:02:59
35.1543184,33.338958,00:03:00
35.1543995,33.338985,00:03:01
35.1543995,33.338985,00:03:02
35.1543995,33.338985,00:03:03
35.1543995,33.338985,00:03:04
35.1543995,33.338985,00:03:05
35.1546501,33.3389268,00:03:06
35.1546501,33.3389268,00:03:07
35.1546501,33.3389268,00:03:08
35.1546501,33.3389268,00:03:09
35.1546501,33.3389268,00:03:10
35.1551222,33.3389031,00:03:11
35.1551222,33.3389031,00:03:12
35.1551222,33.3389031,00:03:13
35.1551222,33.3389031,00:03:14
35.1551222,33.3389031,00:03:15
35.1554988,33.3388505,00:03:16
35.1554988,33.3388505,00:03:17
35.1554988,33.3388505,00:03:18
